scenario,team,site,nb_rescues
SCENARIO-1,TEAM-3,SITE-1,50.0
SCENARIO-1,TEAM-3,SITE-97,50.0
SCENARIO-1,TEAM-3,SITE-98,50.0
SCENARIO-1,TEAM-3,SITE-99,50.0
SCENARIO-1,TEAM-3,SITE-100,50.0
SCENARIO-2,TEAM-3,SITE-1,50.0
SCENARIO-2,TEAM-3,SITE-97,50.0
SCENARIO-2,TEAM-3,SITE-98,50.0
SCENARIO-2,TEAM-3,SITE-99,50.0
SCENARIO-2,TEAM-3,SITE-100,50.0
SCENARIO-3,TEAM-3,SITE-1,50.0
SCENARIO-3,TEAM-3,SITE-97,50.0
SCENARIO-3,TEAM-3,SITE-98,50.0
SCENARIO-3,TEAM-3,SITE-99,50.0
SCENARIO-3,TEAM-3,SITE-100,50.0
SCENARIO-4,TEAM-3,SITE-1,50.0
SCENARIO-4,TEAM-3,SITE-97,50.0
SCENARIO-4,TEAM-3,SITE-98,50.0
SCENARIO-4,TEAM-3,SITE-99,50.0
SCENARIO-4,TEAM-3,SITE-100,50.0
SCENARIO-5,TEAM-3,SITE-1,50.0
SCENARIO-5,TEAM-3,SITE-97,50.0
SCENARIO-5,TEAM-3,SITE-98,50.0
SCENARIO-5,TEAM-3,SITE-99,50.0
SCENARIO-5,TEAM-3,SITE-100,50.0
SCENARIO-6,TEAM-3,SITE-1,50.0
SCENARIO-6,TEAM-3,SITE-97,50.0
SCENARIO-6,TEAM-3,SITE-98,50.0
SCENARIO-6,TEAM-3,SITE-99,50.0
SCENARIO-6,TEAM-3,SITE-100,50.0
SCENARIO-7,TEAM-3,SITE-1,50.0
SCENARIO-7,TEAM-3,SITE-97,50.0
SCENARIO-7,TEAM-3,SITE-98,50.0
SCENARIO-7,TEAM-3,SITE-99,50.0
SCENARIO-7,TEAM-3,SITE-100,50.0
SCENARIO-8,TEAM-3,SITE-1,50.0
SCENARIO-8,TEAM-3,SITE-97,50.0
SCENARIO-8,TEAM-3,SITE-98,50.0
SCENARIO-8,TEAM-3,SITE-99,50.0
SCENARIO-8,TEAM-3,SITE-100,50.0
SCENARIO-9,TEAM-3,SITE-1,50.0
SCENARIO-9,TEAM-3,SITE-97,50.0
SCENARIO-9,TEAM-3,SITE-98,50.0
SCENARIO-9,TEAM-3,SITE-99,50.0
SCENARIO-9,TEAM-3,SITE-100,50.0
SCENARIO-10,TEAM-3,SITE-1,50.0
SCENARIO-10,TEAM-3,SITE-97,50.0
SCENARIO-10,TEAM-3,SITE-98,50.0
SCENARIO-10,TEAM-3,SITE-99,50.0
SCENARIO-10,TEAM-3,SITE-100,50.0
