scenario,team,site,nb_rescues
SCENARIO-62,TEAM-1,SITE-1,0.2
SCENARIO-62,TEAM-1,SITE-2,0.2
SCENARIO-63,TEAM-1,SITE-1,0.2
SCENARIO-63,TEAM-1,SITE-2,0.2
SCENARIO-64,TEAM-1,SITE-1,0.2
SCENARIO-64,TEAM-1,SITE-2,0.2
SCENARIO-65,TEAM-1,SITE-1,0.2
SCENARIO-65,TEAM-1,SITE-2,0.2
SCENARIO-66,TEAM-1,SITE-1,0.2
SCENARIO-66,TEAM-1,SITE-2,0.2
SCENARIO-67,TEAM-1,SITE-1,0.2
SCENARIO-67,TEAM-1,SITE-2,0.2
SCENARIO-68,TEAM-1,SITE-1,0.2
SCENARIO-68,TEAM-1,SITE-2,0.2
SCENARIO-69,TEAM-1,SITE-1,0.2
SCENARIO-69,TEAM-1,SITE-2,0.2
SCENARIO-70,TEAM-1,SITE-1,0.2
SCENARIO-70,TEAM-1,SITE-2,0.2
SCENARIO-71,TEAM-1,SITE-1,0.2
SCENARIO-71,TEAM-1,SITE-2,0.2
SCENARIO-72,TEAM-1,SITE-1,0.2
SCENARIO-72,TEAM-1,SITE-2,0.2
SCENARIO-73,TEAM-1,SITE-1,0.2
SCENARIO-73,TEAM-1,SITE-2,0.2
SCENARIO-74,TEAM-1,SITE-1,0.2
SCENARIO-74,TEAM-1,SITE-2,0.2
SCENARIO-75,TEAM-1,SITE-1,0.2
SCENARIO-75,TEAM-1,SITE-2,0.2
SCENARIO-76,TEAM-1,SITE-1,0.2
SCENARIO-76,TEAM-1,SITE-2,0.2
SCENARIO-77,TEAM-1,SITE-1,0.2
SCENARIO-77,TEAM-1,SITE-2,0.2
SCENARIO-78,TEAM-1,SITE-1,0.2
SCENARIO-78,TEAM-1,SITE-2,0.2
SCENARIO-79,TEAM-1,SITE-1,0.2
SCENARIO-79,TEAM-1,SITE-2,0.2
SCENARIO-80,TEAM-1,SITE-1,0.2
SCENARIO-80,TEAM-1,SITE-2,0.2
SCENARIO-81,TEAM-1,SITE-1,0.2
SCENARIO-81,TEAM-1,SITE-2,0.2
