scenario,team,site,nb_rescues
SCENARIO-1,TEAM-3,SITE-1,5.0
SCENARIO-1,TEAM-3,SITE-97,5.0
SCENARIO-1,TEAM-3,SITE-98,5.0
SCENARIO-1,TEAM-3,SITE-99,5.0
SCENARIO-1,TEAM-3,SITE-100,5.0
SCENARIO-2,TEAM-3,SITE-1,5.0
SCENARIO-2,TEAM-3,SITE-97,5.0
SCENARIO-2,TEAM-3,SITE-98,5.0
SCENARIO-2,TEAM-3,SITE-99,5.0
SCENARIO-2,TEAM-3,SITE-100,5.0
SCENARIO-3,TEAM-3,SITE-1,5.0000000000003375
SCENARIO-3,TEAM-3,SITE-97,5.0000000000003375
SCENARIO-3,TEAM-3,SITE-98,5.0000000000003375
SCENARIO-3,TEAM-3,SITE-99,5.0000000000003375
SCENARIO-3,TEAM-3,SITE-100,5.0000000000003375
SCENARIO-4,TEAM-3,SITE-1,5.0
SCENARIO-4,TEAM-3,SITE-97,5.0
SCENARIO-4,TEAM-3,SITE-98,5.0
SCENARIO-4,TEAM-3,SITE-99,5.0
SCENARIO-4,TEAM-3,SITE-100,5.0
SCENARIO-5,TEAM-3,SITE-1,5.0
SCENARIO-5,TEAM-3,SITE-97,5.0
SCENARIO-5,TEAM-3,SITE-98,5.0
SCENARIO-5,TEAM-3,SITE-99,5.0
SCENARIO-5,TEAM-3,SITE-100,5.0
SCENARIO-6,TEAM-3,SITE-1,5.000000000000782
SCENARIO-6,TEAM-3,SITE-97,5.000000000000782
SCENARIO-6,TEAM-3,SITE-98,5.000000000000782
SCENARIO-6,TEAM-3,SITE-99,5.000000000000782
SCENARIO-6,TEAM-3,SITE-100,5.000000000000782
SCENARIO-7,TEAM-3,SITE-1,5.0
SCENARIO-7,TEAM-3,SITE-97,5.0
SCENARIO-7,TEAM-3,SITE-98,5.0
SCENARIO-7,TEAM-3,SITE-99,5.0
SCENARIO-7,TEAM-3,SITE-100,5.0
SCENARIO-8,TEAM-3,SITE-1,5.0
SCENARIO-8,TEAM-3,SITE-97,5.0
SCENARIO-8,TEAM-3,SITE-98,5.0
SCENARIO-8,TEAM-3,SITE-99,5.0
