scenario,team,site,nb_rescues
SCENARIO-1,TEAM-3,SITE-3,8.0
SCENARIO-1,TEAM-3,SITE-5,14.0
SCENARIO-1,TEAM-3,SITE-5,16.0
SCENARIO-1,TEAM-3,SITE-2,17.0
SCENARIO-1,TEAM-3,SITE-1,6.0
SCENARIO-1,TEAM-3,SITE-5,9.0
SCENARIO-1,TEAM-3,SITE-3,17.0
SCENARIO-1,TEAM-3,SITE-5,14.0
SCENARIO-1,TEAM-3,SITE-3,2.0
SCENARIO-1,TEAM-3,SITE-5,19.0
SCENARIO-1,TEAM-3,SITE-3,3.0
SCENARIO-1,TEAM-3,SITE-3,6.0
SCENARIO-1,TEAM-3,SITE-2,19.0
SCENARIO-1,TEAM-3,SITE-1,20.0
SCENARIO-1,TEAM-3,SITE-13,6.0
SCENARIO-1,TEAM-3,SITE-1,8.0
SCENARIO-1,TEAM-3,SITE-3,3.0
SCENARIO-1,TEAM-3,SITE-2,15.0
SCENARIO-1,TEAM-3,SITE-1,12.0
SCENARIO-1,TEAM-3,SITE-13,14.0
SCENARIO-1,TEAM-3,SITE-1,8.0
SCENARIO-1,TEAM-3,SITE-1,4.0
SCENARIO-1,TEAM-3,SITE-13,19.0
SCENARIO-1,TEAM-3,SITE-3,16.0
SCENARIO-1,TEAM-3,SITE-13,20.0
SCENARIO-1,TEAM-3,SITE-1,11.0
SCENARIO-1,TEAM-3,SITE-13,4.0
SCENARIO-1,TEAM-3,SITE-3,10.0
SCENARIO-1,TEAM-3,SITE-2,11.0
SCENARIO-1,TEAM-3,SITE-1,18.0
SCENARIO-1,TEAM-3,SITE-13,19.0
SCENARIO-1,TEAM-3,SITE-3,6.0
SCENARIO-1,TEAM-3,SITE-1,13.0
SCENARIO-1,TEAM-3,SITE-2,11.0
SCENARIO-1,TEAM-3,SITE-5,17.0
SCENARIO-1,TEAM-3,SITE-3,6.0
SCENARIO-1,TEAM-3,SITE-3,12.0
SCENARIO-1,TEAM-3,SITE-2,18.0
SCENARIO-1,TEAM-3,SITE-3,4.0
SCENARIO-1,TEAM-3,SITE-5,11.0
SCENARIO-1,TEAM-3,SITE-3,2.0
SCENARIO-1,TEAM-3,SITE-2,9.0
SCENARIO-1,TEAM-3,SITE-3,5.0
SCENARIO-1,TEAM-3,SITE-13,18.0
SCENARIO-2,TEAM-3,SITE-3,12.0
SCENARIO-2,TEAM-3,SITE-2,15.0
SCENARIO-2,TEAM-3,SITE-5,9.0
SCENARIO-2,TEAM-3,SITE-2,15.0
SCENARIO-2,TEAM-3,SITE-5,5.0
SCENARIO-2,TEAM-3,SITE-13,16.0
SCENARIO-2,TEAM-3,SITE-1,12.0
SCENARIO-2,TEAM-3,SITE-1,10.0
SCENARIO-2,TEAM-3,SITE-13,9.0
SCENARIO-2,TEAM-3,SITE-3,13.0
SCENARIO-2,TEAM-3,SITE-1,3.0
SCENARIO-2,TEAM-3,SITE-3,3.0
SCENARIO-2,TEAM-3,SITE-2,3.0
SCENARIO-2,TEAM-3,SITE-5,3.0
SCENARIO-2,TEAM-3,SITE-3,9.0
SCENARIO-2,TEAM-3,SITE-2,5.0
SCENARIO-2,TEAM-3,SITE-1,14.0
SCENARIO-2,TEAM-3,SITE-13,15.0
SCENARIO-2,TEAM-3,SITE-1,12.0
SCENARIO-2,TEAM-3,SITE-3,2.0
SCENARIO-2,TEAM-3,SITE-2,2.0
SCENARIO-2,TEAM-3,SITE-5,7.0
SCENARIO-2,TEAM-3,SITE-5,12.0
SCENARIO-2,TEAM-3,SITE-13,3.0
SCENARIO-2,TEAM-3,SITE-3,12.0
SCENARIO-2,TEAM-3,SITE-1,16.0
SCENARIO-2,TEAM-3,SITE-1,18.0
SCENARIO-2,TEAM-3,SITE-5,6.0
SCENARIO-2,TEAM-3,SITE-13,2.0
SCENARIO-2,TEAM-3,SITE-5,11.0
SCENARIO-2,TEAM-3,SITE-13,18.0
SCENARIO-2,TEAM-3,SITE-2,5.0
SCENARIO-2,TEAM-3,SITE-2,3.0
SCENARIO-2,TEAM-3,SITE-13,16.0
SCENARIO-2,TEAM-3,SITE-2,6.0
SCENARIO-2,TEAM-3,SITE-2,6.0
SCENARIO-2,TEAM-3,SITE-5,20.0
SCENARIO-2,TEAM-3,SITE-2,1.0
SCENARIO-2,TEAM-3,SITE-5,7.0
SCENARIO-2,TEAM-3,SITE-2,3.0
SCENARIO-2,TEAM-3,SITE-13,6.0
SCENARIO-2,TEAM-3,SITE-2,14.0
