scenario,team,site,nb_rescues
SCENARIO-1,TEAM-3,SITE-17,20.0
SCENARIO-1,TEAM-3,SITE-36,10.0
SCENARIO-1,TEAM-3,SITE-26,6.0
SCENARIO-1,TEAM-3,SITE-36,7.0
SCENARIO-1,TEAM-3,SITE-26,8.0
SCENARIO-1,TEAM-3,SITE-1,3.0
SCENARIO-1,TEAM-3,SITE-36,7.0
SCENARIO-1,TEAM-3,SITE-1,11.0
SCENARIO-1,TEAM-3,SITE-1,5.0
SCENARIO-1,TEAM-3,SITE-17,10.0
SCENARIO-1,TEAM-3,SITE-17,13.0
SCENARIO-1,TEAM-3,SITE-1,3.0
SCENARIO-1,TEAM-3,SITE-1,4.0
SCENARIO-1,TEAM-3,SITE-1,7.0
SCENARIO-1,TEAM-3,SITE-1,1.0
SCENARIO-1,TEAM-3,SITE-36,18.0
SCENARIO-1,TEAM-3,SITE-36,15.000000000000009
SCENARIO-1,TEAM-3,SITE-1,17.0
SCENARIO-1,TEAM-3,SITE-26,19.0
SCENARIO-1,TEAM-3,SITE-26,3.0
SCENARIO-1,TEAM-3,SITE-17,20.0
SCENARIO-1,TEAM-3,SITE-26,6.0
SCENARIO-1,TEAM-3,SITE-36,19.0
SCENARIO-1,TEAM-3,SITE-17,18.0
SCENARIO-1,TEAM-3,SITE-26,3.0
SCENARIO-1,TEAM-3,SITE-26,12.0
SCENARIO-1,TEAM-3,SITE-26,2.0
SCENARIO-1,TEAM-3,SITE-26,11.0
SCENARIO-1,TEAM-3,SITE-36,19.0
SCENARIO-1,TEAM-3,SITE-26,6.0
SCENARIO-1,TEAM-3,SITE-36,5.0
SCENARIO-1,TEAM-3,SITE-1,3.0
SCENARIO-1,TEAM-3,SITE-1,15.0
SCENARIO-1,TEAM-3,SITE-1,6.0
SCENARIO-1,TEAM-3,SITE-1,17.0
SCENARIO-1,TEAM-3,SITE-26,13.0
SCENARIO-1,TEAM-3,SITE-17,19.0
SCENARIO-1,TEAM-3,SITE-26,3.0
SCENARIO-1,TEAM-3,SITE-1,8.0
SCENARIO-1,TEAM-3,SITE-26,7.0
SCENARIO-2,TEAM-3,SITE-1,2.0
SCENARIO-2,TEAM-3,SITE-36,20.0
SCENARIO-2,TEAM-3,SITE-26,11.0
SCENARIO-2,TEAM-3,SITE-1,13.0
SCENARIO-2,TEAM-3,SITE-26,5.0
SCENARIO-2,TEAM-3,SITE-1,1.0
SCENARIO-2,TEAM-3,SITE-26,16.0
SCENARIO-2,TEAM-3,SITE-1,1.0
SCENARIO-2,TEAM-3,SITE-17,19.0
SCENARIO-2,TEAM-3,SITE-1,3.0
